_id,name,userId,team,count_soldier,count_archer,count_tank,count_drone,count_sniper,count_medic,total_units,total_health,avg_health,total_attack,avg_attack,avg_range,avg_speed,avg_x,avg_y,std_x,std_y,formation_width,formation_height,ranged_fraction,cluster,playstyle_name
{'$oid': '69331b46f3bf944a5e095b81'},wolf stategy,{'$oid': '69331b30f3bf944a5e095b7a'},teamA,1,0,2,3,0,0,6,550.0,91.66666666666667,101.0,16.833333333333332,2.8333333333333335,3.6666666666666665,2.0,8.333333333333334,0.0,2.981423969999719,0.0,8.0,0.5,1,teamA Playstyle 1
{'$oid': '693344b2b85fe24ee17a99a3'},ml_data1_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,1,1,1,1,1,6,510.0,85.0,112.0,18.666666666666668,2.6666666666666665,2.8333333333333335,2.0,8.333333333333334,0.0,2.981423969999719,0.0,8.0,0.5,1,teamA Playstyle 1
{'$oid': '693361ffaebe6ce0db227878'},ml_data2_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,1,1,1,1,2,7,580.0,82.85714285714286,117.0,16.714285714285715,2.4285714285714284,2.857142857142857,2.0,8.142857142857142,0.0,2.799416848895061,0.0,8.0,0.42857142857142855,1,teamA Playstyle 1
{'$oid': '693366a3aebe6ce0db22790a'},ml_data3_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,1,1,1,1,2,7,580.0,82.85714285714286,117.0,16.714285714285715,2.4285714285714284,2.857142857142857,2.0,8.142857142857142,0.0,2.799416848895061,0.0,8.0,0.42857142857142855,1,teamA Playstyle 1
{'$oid': '69336738aebe6ce0db22796f'},ml_data4_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,2,1,1,1,1,2,8,926.0,115.75,344.0,43.0,3.625,3.875,4.625,10.75,0.9921567416492215,0.6614378277661477,3.0,2.0,0.375,0,teamA Playstyle 0
{'$oid': '6933675daebe6ce0db2279f3'},ml_data5_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,0,0,3,0,1,4,220.0,55.0,41.0,10.25,3.25,4.5,2.0,8.0,0.0,2.23606797749979,0.0,6.0,0.75,1,teamA Playstyle 1
{'$oid': '693367cfaebe6ce0db227a83'},ml_data6_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,0,0,3,0,1,4,220.0,55.0,41.0,10.25,3.25,4.5,2.0,8.0,0.0,2.23606797749979,0.0,6.0,0.75,1,teamA Playstyle 1
{'$oid': '6933680faebe6ce0db227b25'},ml_data7_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,1,0,3,0,1,5,300.0,60.0,61.0,12.2,3.2,4.0,2.0,9.0,0.0,2.8284271247461903,0.0,8.0,0.8,1,teamA Playstyle 1
{'$oid': '69336865aebe6ce0db227ce1'},ml_data8_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,1,0,3,0,1,5,300.0,60.0,61.0,12.2,3.2,4.0,2.0,9.0,0.0,2.8284271247461903,0.0,8.0,0.8,1,teamA Playstyle 1
{'$oid': '6933688daebe6ce0db227da8'},ml_data9_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,1,0,2,0,1,4,250.0,62.5,49.0,12.25,3.0,3.75,2.0,10.0,0.0,2.23606797749979,0.0,6.0,0.75,1,teamA Playstyle 1
{'$oid': '693368acaebe6ce0db227e7f'},ml_data10_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,1,0,2,1,1,6,410.0,68.33333333333333,99.0,16.5,3.0,3.3333333333333335,2.0,9.666666666666666,0.0,2.981423969999719,0.0,8.0,0.6666666666666666,1,teamA Playstyle 1
{'$oid': '693368d4aebe6ce0db227f81'},ml_data11_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,1,0,5,1,0,7,390.0,55.714285714285715,115.0,16.428571428571427,4.0,4.142857142857143,2.0,9.0,0.0,3.2071349029490928,0.0,8.0,1.0,1,teamA Playstyle 1
{'$oid': '693368eaaebe6ce0db2280b1'},ml_data12_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,1,0,5,1,0,7,390.0,55.714285714285715,115.0,16.428571428571427,4.0,4.142857142857143,2.0,9.0,0.0,3.2071349029490928,0.0,8.0,1.0,1,teamA Playstyle 1
{'$oid': '69336913aebe6ce0db22820b'},ml_data13_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,1,0,5,1,7,14,880.0,62.857142857142854,150.0,10.714285714285714,2.5,3.5714285714285716,2.0,9.142857142857142,0.0,2.8749445424997293,0.0,8.0,0.5,1,teamA Playstyle 1
{'$oid': '69336948aebe6ce0db2285e1'},ml_data14_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,8,0,0,0,0,0,8,800.0,100.0,120.0,15.0,1.0,3.0,2.0,8.25,0.0,2.6339134382131846,0.0,8.0,0.0,1,teamA Playstyle 1
{'$oid': '69336a2daebe6ce0db22892c'},ml_data15_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,8,1,0,0,0,0,9,880.0,97.77777777777777,140.0,15.555555555555555,1.2222222222222223,2.888888888888889,2.0,8.555555555555555,0.0,2.629368792488718,0.0,8.0,0.1111111111111111,1,teamA Playstyle 1
{'$oid': '69336a67aebe6ce0db228b01'},ml_data16_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,3,0,0,1,0,4,300.0,75.0,95.0,23.75,3.5,2.0,2.0,8.0,0.0,2.23606797749979,0.0,6.0,1.0,1,teamA Playstyle 1
{'$oid': '69336a7baebe6ce0db228cdc'},ml_data17_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,3,0,0,1,0,5,400.0,80.0,110.0,22.0,3.0,2.2,2.0,9.0,0.0,2.8284271247461903,0.0,8.0,0.8,1,teamA Playstyle 1
{'$oid': '69336a9faebe6ce0db228ecd'},ml_data18_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,3,0,0,1,0,5,400.0,80.0,110.0,22.0,3.0,2.2,2.0,9.0,0.0,2.8284271247461903,0.0,8.0,0.8,1,teamA Playstyle 1
{'$oid': '69336ab4aebe6ce0db2290d2'},ml_data19_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,3,2,0,1,0,7,700.0,100.0,160.0,22.857142857142858,2.7142857142857144,2.142857142857143,2.0,8.142857142857142,0.0,2.799416848895061,0.0,8.0,0.5714285714285714,2,teamA Playstyle 2
{'$oid': '69336ac7aebe6ce0db2292f7'},ml_data19_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,2,4,2,0,1,0,9,880.0,97.77777777777777,195.0,21.666666666666668,2.5555555555555554,2.2222222222222223,2.0,8.555555555555555,0.0,2.629368792488718,0.0,8.0,0.5555555555555556,2,teamA Playstyle 2
{'$oid': '69336afaaebe6ce0db229544'},ml_data20_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,2,4,2,0,1,0,9,967.0,107.44444444444444,195.0,21.666666666666668,2.5555555555555554,2.2222222222222223,2.3333333333333335,9.11111111111111,0.6666666666666666,3.1426968052735447,2.0,9.0,0.5555555555555556,2,teamA Playstyle 2
{'$oid': '69336b16aebe6ce0db2297b5'},ml_data21_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,3,1,0,1,0,6,637.0,106.16666666666667,135.0,22.5,2.8333333333333335,2.1666666666666665,2.5,8.5,0.7637626158259734,3.253203549323856,2.0,9.0,0.6666666666666666,2,teamA Playstyle 2
{'$oid': '69336b2aaebe6ce0db229a3b'},ml_data22_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,3,1,3,1,0,9,787.0,87.44444444444444,171.0,19.0,3.2222222222222223,3.111111111111111,2.3333333333333335,8.666666666666666,0.6666666666666666,2.82842712474619,2.0,9.0,0.7777777777777778,2,teamA Playstyle 2
{'$oid': '69336b47aebe6ce0db229cea'},ml_data23_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,4,1,4,2,0,12,977.0,81.41666666666667,238.0,19.833333333333332,3.4166666666666665,3.0833333333333335,2.25,8.583333333333334,0.5951190357119042,2.9849157814287195,2.0,9.0,0.8333333333333334,2,teamA Playstyle 2
{'$oid': '69336b60aebe6ce0db229fcf'},ml_data24_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,0,0,0,1,1,2,130.0,65.0,40.0,20.0,3.0,2.5,2.0,7.0,0.0,0.0,0.0,0.0,0.5,3,teamA Playstyle 3
{'$oid': '69336b71aebe6ce0db22a2b1'},ml_data25_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,0,0,0,4,1,5,310.0,62.0,145.0,29.0,4.2,2.2,2.0,9.4,0.0,2.33238075793812,0.0,6.0,0.8,1,teamA Playstyle 1
{'$oid': '69336b9caebe6ce0db22a5b0'},ml_data26_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,1,0,1,5,1,8,500.0,62.5,212.0,26.5,4.125,2.5,2.0,8.5,0.0,2.3979157616563596,0.0,8.0,0.875,1,teamA Playstyle 1
{'$oid': '69336bcdaebe6ce0db22a8d9'},ml_data27_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,1,0,1,5,1,8,500.0,62.5,212.0,26.5,4.125,2.5,2.0,8.5,0.0,2.3979157616563596,0.0,8.0,0.875,1,teamA Playstyle 1
{'$oid': '69336bdeaebe6ce0db22ac26'},ml_data28_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,1,1,1,5,1,10,750.0,75.0,252.0,25.2,3.6,2.5,2.0,9.2,0.0,2.6,0.0,8.0,0.7,1,teamA Playstyle 1
{'$oid': '69336c4eaebe6ce0db22b4ad'},ml_data29_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,0,0,0,0,1,0,1,60.0,60.0,35.0,35.0,5.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,3,teamA Playstyle 3
{'$oid': '69336c5faebe6ce0db22b816'},ml_data31_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,1,0,0,1,0,3,240.0,80.0,70.0,23.333333333333332,3.0,2.3333333333333335,2.0,7.0,0.0,1.632993161855452,0.0,4.0,0.6666666666666666,3,teamA Playstyle 3
{'$oid': '69336c71aebe6ce0db22bd3f'},ml_data30_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,1,1,1,1,0,5,440.0,88.0,107.0,21.4,3.0,2.8,2.0,9.0,0.0,2.8284271247461903,0.0,8.0,0.6,1,teamA Playstyle 1
{'$oid': '69336c81aebe6ce0db22c0c0'},ml_data32_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,1,1,1,1,0,5,440.0,88.0,107.0,21.4,3.0,2.8,2.0,9.0,0.0,2.8284271247461903,0.0,8.0,0.6,1,teamA Playstyle 1
{'$oid': '69336c93aebe6ce0db22c456'},ml_data33_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamA,1,1,2,1,2,1,8,720.0,90.0,172.0,21.5,2.875,2.625,2.0,8.25,0.0,2.6339134382131846,0.0,8.0,0.5,1,teamA Playstyle 1
